epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.35554,1.06326,3.43671,1.2237,0.57533,0.85,0.87734,0.63464,1.66715,1.06961,1.38576,0,0,0
2,8.3639,1.52336,2.50647,1.72801,0.58178,0.85,0.84748,0.63282,1.66231,1.05759,1.38276,6.0095e-07,6.0095e-07,6.0095e-07
